timestamp,vrms,irms,realPower,powerFactor,device_label
2026-05-19T05:13:47Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:13:47Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:13:49Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:13:51Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:13:53Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:13:55Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:13:57Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:13:59Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:01Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:06Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:06Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:08Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:10Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:12Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:14Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:16Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:18Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:20Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:22Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:24Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:26Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:28Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:30Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:32Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:34Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:36Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:38Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:40Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:42Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:44Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:46Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:48Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:50Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:52Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:54Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:56Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:14:58Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:00Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:02Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:04Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:06Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:08Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:10Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:12Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:14Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:16Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:18Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:20Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:22Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:24Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:26Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:28Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:30Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:32Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:34Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:36Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:38Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:43Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:43Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:45Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:47Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:49Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:51Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:15:55Z,225.0,0.04,9.0,0.91,fan
2026-05-19T05:15:57Z,224.9,0.04,7.8,0.87,fan
2026-05-19T05:15:59Z,224.9,0.04,8.0,0.89,fan
2026-05-19T05:16:01Z,224.7,0.04,7.8,0.87,fan
2026-05-19T05:16:03Z,224.9,0.04,7.9,0.88,fan
2026-05-19T05:16:05Z,221.6,0.04,7.7,0.89,fan
2026-05-19T05:16:07Z,222.4,0.04,7.7,0.89,fan
2026-05-19T05:16:09Z,222.1,0.04,7.6,0.90,fan
2026-05-19T05:16:11Z,222.3,0.04,7.8,0.90,fan
2026-05-19T05:16:13Z,225.0,0.04,7.9,0.88,fan
2026-05-19T05:16:15Z,225.0,0.04,7.9,0.88,fan
2026-05-19T05:16:17Z,225.2,0.04,7.8,0.89,fan
2026-05-19T05:16:19Z,225.3,0.04,8.0,0.89,fan
2026-05-19T05:16:21Z,225.2,0.04,7.9,0.90,fan
2026-05-19T05:16:23Z,225.3,0.04,8.1,0.90,fan
2026-05-19T05:16:25Z,225.2,0.04,8.0,0.89,fan
2026-05-19T05:16:27Z,225.3,0.04,7.9,0.90,fan
2026-05-19T05:16:29Z,225.2,0.04,7.8,0.89,fan
2026-05-19T05:16:31Z,225.2,0.04,7.9,0.90,fan
2026-05-19T05:16:33Z,225.2,0.04,8.1,0.90,fan
2026-05-19T05:16:35Z,225.2,0.04,7.9,0.90,fan
2026-05-19T05:16:37Z,225.1,0.04,7.8,0.91,fan
2026-05-19T05:16:39Z,225.2,0.04,7.9,0.90,fan
2026-05-19T05:16:41Z,225.1,0.04,7.9,0.90,fan
2026-05-19T05:16:43Z,225.0,0.04,7.8,0.89,fan
2026-05-19T05:16:45Z,225.1,0.04,7.8,0.89,fan
2026-05-19T05:16:47Z,225.1,0.04,7.8,0.89,fan
2026-05-19T05:16:49Z,225.2,0.04,7.8,0.91,fan
2026-05-19T05:16:51Z,225.0,0.04,7.8,0.89,fan
2026-05-19T05:16:53Z,225.0,0.04,7.8,0.89,fan
2026-05-19T05:16:55Z,225.0,0.04,7.8,0.91,fan
2026-05-19T05:16:57Z,225.0,0.04,7.8,0.89,fan
2026-05-19T05:16:59Z,225.2,0.04,7.8,0.89,fan
2026-05-19T05:17:01Z,225.3,0.04,7.7,0.90,fan
2026-05-19T05:17:03Z,222.6,0.04,7.7,0.91,fan
2026-05-19T05:17:05Z,222.7,0.04,7.6,0.92,fan
2026-05-19T05:17:07Z,222.9,0.04,7.5,0.91,fan
2026-05-19T05:17:09Z,225.3,0.04,7.8,0.91,fan
2026-05-19T05:17:11Z,225.4,0.04,7.7,0.88,fan
2026-05-19T05:17:13Z,225.2,0.04,7.7,0.90,fan
2026-05-19T05:17:15Z,225.4,0.04,7.7,0.90,fan
2026-05-19T05:17:17Z,225.3,0.04,7.8,0.89,fan
2026-05-19T05:17:19Z,225.2,0.04,7.8,0.91,fan
2026-05-19T05:17:21Z,225.2,0.04,7.7,0.90,fan
2026-05-19T05:17:23Z,225.0,0.04,7.6,0.89,fan
2026-05-19T05:17:25Z,225.2,0.04,7.8,0.91,fan
2026-05-19T05:17:27Z,224.8,0.04,7.7,0.90,fan
2026-05-19T05:17:29Z,224.7,0.04,7.7,0.90,fan
2026-05-19T05:17:31Z,224.9,0.04,7.6,0.89,fan
2026-05-19T05:17:33Z,224.9,0.04,7.7,0.90,fan
2026-05-19T05:17:35Z,224.8,0.04,7.5,0.88,fan
2026-05-19T05:17:37Z,224.9,0.04,7.5,0.90,fan
2026-05-19T05:17:39Z,225.0,0.04,7.6,0.89,fan
2026-05-19T05:17:41Z,225.1,0.04,7.6,0.89,fan
2026-05-19T05:17:43Z,224.9,0.04,7.6,0.89,fan
2026-05-19T05:17:45Z,224.9,0.04,7.5,0.88,fan
2026-05-19T05:17:47Z,225.0,0.04,7.7,0.90,fan
2026-05-19T05:17:49Z,225.1,0.04,7.6,0.89,fan
2026-05-19T05:17:51Z,225.1,0.04,7.6,0.89,fan
2026-05-19T05:17:53Z,225.1,0.04,7.8,0.91,fan
2026-05-19T05:17:55Z,225.2,0.04,7.6,0.91,fan
2026-05-19T05:17:57Z,225.0,0.04,7.7,0.90,fan
2026-05-19T05:17:59Z,220.1,0.04,7.2,0.91,fan
2026-05-19T05:18:01Z,222.5,0.04,7.4,0.90,fan
2026-05-19T05:18:03Z,222.3,0.04,7.4,0.90,fan
2026-05-19T05:18:05Z,223.1,0.04,7.4,0.90,fan
2026-05-19T05:18:07Z,224.2,0.04,7.5,0.90,fan
2026-05-19T05:18:09Z,224.9,0.04,7.7,0.90,fan
2026-05-19T05:18:11Z,224.8,0.04,7.6,0.89,fan
2026-05-19T05:18:13Z,225.1,0.04,7.6,0.89,fan
2026-05-19T05:18:15Z,224.9,0.04,7.7,0.90,fan
2026-05-19T05:18:17Z,225.3,0.04,7.7,0.90,fan
2026-05-19T05:18:19Z,225.4,0.04,7.7,0.90,fan
2026-05-19T05:18:21Z,225.1,0.04,7.7,0.90,fan
2026-05-19T05:18:23Z,225.1,0.04,7.7,0.90,fan
2026-05-19T05:18:25Z,225.3,0.04,7.7,0.90,fan
2026-05-19T05:18:27Z,225.2,0.04,7.7,0.90,fan
2026-05-19T05:18:29Z,225.2,0.04,7.7,0.90,fan
2026-05-19T05:18:31Z,225.3,0.04,7.7,0.90,fan
2026-05-19T05:18:33Z,225.4,0.04,7.8,0.91,fan
2026-05-19T05:18:35Z,225.1,0.04,7.7,0.90,fan
2026-05-19T05:18:37Z,225.1,0.04,7.6,0.89,fan
2026-05-19T05:18:39Z,225.4,0.04,7.6,0.91,fan
2026-05-19T05:18:41Z,225.2,0.04,7.6,0.91,fan
2026-05-19T05:18:43Z,225.1,0.04,7.6,0.89,fan
2026-05-19T05:18:45Z,225.3,0.04,7.6,0.91,fan
2026-05-19T05:18:47Z,225.4,0.04,7.6,0.89,fan
2026-05-19T05:18:49Z,225.4,0.04,7.7,0.90,fan
2026-05-19T05:18:54Z,225.1,0.04,7.7,0.90,fan
2026-05-19T05:18:54Z,225.5,0.04,7.6,0.89,fan
2026-05-19T05:18:56Z,221.2,0.04,7.2,0.90,fan
2026-05-19T05:18:58Z,223.0,0.04,7.4,0.92,fan
2026-05-19T05:19:00Z,223.1,0.04,7.5,0.91,fan
2026-05-19T05:19:02Z,223.3,0.04,7.7,0.93,fan
2026-05-19T05:19:04Z,225.7,0.04,7.7,0.90,fan
2026-05-19T05:19:06Z,225.6,0.04,7.8,0.91,fan
2026-05-19T05:19:08Z,225.5,0.04,7.7,0.90,fan
2026-05-19T05:19:10Z,225.4,0.04,7.7,0.90,fan
2026-05-19T05:19:12Z,225.4,0.04,7.6,0.91,fan
2026-05-19T05:19:14Z,225.3,0.04,7.5,0.90,fan
2026-05-19T05:19:16Z,225.2,0.04,7.8,0.91,fan
2026-05-19T05:19:18Z,225.4,0.04,7.8,0.91,fan
2026-05-19T05:19:20Z,225.3,0.04,7.6,0.91,fan
2026-05-19T05:19:22Z,225.5,0.04,7.5,0.90,fan
2026-05-19T05:19:24Z,225.3,0.04,7.8,0.91,fan
2026-05-19T05:19:26Z,219.2,0.04,7.2,0.91,fan
2026-05-19T05:19:28Z,222.8,0.04,7.4,0.92,fan
2026-05-19T05:19:30Z,222.7,0.04,7.4,0.92,fan
2026-05-19T05:19:32Z,222.7,0.04,7.4,0.92,fan
2026-05-19T05:19:34Z,222.6,0.04,7.4,0.92,fan
2026-05-19T05:19:36Z,225.5,0.04,7.7,0.90,fan
2026-05-19T05:19:38Z,225.4,0.04,7.7,0.90,fan
2026-05-19T05:19:40Z,225.3,0.04,7.6,0.91,fan
2026-05-19T05:19:42Z,225.4,0.04,7.7,0.92,fan
2026-05-19T05:19:44Z,225.5,0.04,7.6,0.91,fan
2026-05-19T05:19:46Z,225.6,0.04,7.8,0.91,fan
2026-05-19T05:19:48Z,225.5,0.04,7.8,0.91,fan
2026-05-19T05:19:50Z,225.3,0.04,7.7,0.90,fan
2026-05-19T05:19:52Z,225.5,0.04,7.6,0.91,fan
2026-05-19T05:19:54Z,225.5,0.04,7.6,0.91,fan
2026-05-19T05:19:56Z,225.5,0.04,7.5,0.90,fan
2026-05-19T05:19:58Z,219.3,0.04,7.2,0.91,fan
2026-05-19T05:20:00Z,223.0,0.04,7.4,0.90,fan
2026-05-19T05:20:02Z,223.1,0.04,7.5,0.91,fan
2026-05-19T05:20:04Z,225.7,0.04,7.7,0.90,fan
2026-05-19T05:20:06Z,225.7,0.04,7.6,0.89,fan
2026-05-19T05:20:08Z,225.5,0.04,7.6,0.91,fan
2026-05-19T05:20:10Z,225.6,0.04,7.8,0.91,fan
2026-05-19T05:20:12Z,225.6,0.04,7.7,0.92,fan
2026-05-19T05:20:14Z,225.5,0.04,7.9,0.92,fan
2026-05-19T05:20:16Z,225.4,0.04,7.9,0.92,fan
2026-05-19T05:20:18Z,225.4,0.04,7.8,0.91,fan
2026-05-19T05:20:20Z,225.4,0.04,7.8,0.91,fan
2026-05-19T05:20:22Z,220.6,0.04,7.5,0.92,fan
2026-05-19T05:20:24Z,223.0,0.04,7.5,0.93,fan
2026-05-19T05:20:26Z,222.9,0.04,7.6,0.92,fan
2026-05-19T05:20:28Z,222.8,0.04,7.7,0.93,fan
2026-05-19T05:20:30Z,223.0,0.04,7.5,0.93,fan
2026-05-19T05:20:32Z,223.0,0.04,7.6,0.92,fan
2026-05-19T05:20:34Z,222.7,0.04,7.5,0.94,fan
2026-05-19T05:20:36Z,222.7,0.04,7.6,0.92,fan
2026-05-19T05:20:38Z,222.8,0.04,7.7,0.93,fan
2026-05-19T05:20:40Z,223.0,0.04,7.6,0.92,fan
2026-05-19T05:20:42Z,223.0,0.04,7.6,0.92,fan
2026-05-19T05:20:44Z,222.9,0.04,7.6,0.92,fan
2026-05-19T05:20:46Z,222.7,0.05,9.9,0.97,fan
2026-05-19T05:20:48Z,222.7,0.04,7.7,0.93,fan
2026-05-19T05:20:50Z,222.8,0.04,7.6,0.92,fan
2026-05-19T05:20:52Z,222.7,0.04,7.7,0.93,fan
2026-05-19T05:20:54Z,222.6,0.04,7.5,0.91,fan
2026-05-19T05:20:56Z,222.6,0.04,7.4,0.92,fan
2026-05-19T05:20:58Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:00Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:02Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:04Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:06Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:08Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:10Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:12Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:14Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:16Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:18Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:20Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:22Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:24Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:26Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:28Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:30Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:32Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:34Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:36Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:38Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:40Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:42Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:44Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:46Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:48Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:50Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:52Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:54Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:56Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:21:58Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:22:00Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:22:02Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:22:04Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:22:06Z,0.0,0.00,0.0,0.00,Idle
